"District";"EligibleVoters";"TotalValidVotes";"FJPVotes";"FJPPCT";"NourVotes";"NourPCT";"WafdVotes";"WafdPCT";"EGBlocVotes";"EGBlocPCT";"AlWasatVotes";"AlWasatPCT";"RevContVotes";"RevContPCT";"AlAdlVotes";"AlAdlPCT";"NatPartyofEGVotes";"NatPartyofEGPCT";"DemPeaceVotes";"DemPeacePCT";"RDvotes";"RDPCT";"EgyptRevVotes";"EgyptRevPCT";"EGCitVotes";"EGCitPCT";"FreedomVotes";"Freedom PCT";"ModEGVotes";"ModEGPCT";"NasserVotes";"NasserPCT";"GhadVotes";"GhadPCT";"AwareVotes";"AwarePCT";"NewIndVotes";"NewIndPCT";"ConservVotes";"ConservPCT";"LibSocConVotes";"LibSocConPCT";"EgyptianRevVotes";"EgyptianRevPCT";"UnionVotes";"UnionPCT";"EGArabUnionVotes";"EGArabUnionPCT";"DemFrontVotes";"DemFrontPCT";"HumRigVotes";"HumRigPCT";"SocPeaceVotes";"SocPeacePCT";"ArabJEVotes";"ArabJEPCT";"GuardRevVotes";"GuardRevPCT";"NationVotes";"NationPCT";"EGPartyPJVotes";"EGPartyPJPCT";"FreeSoConVotes";"FreeSoConPCT";"EGTahrirVotes";"EGTahrirPCT";"FreeVotes";"FreePCT";"EGVoiceVotes";"EGVoicePCT";"FreeEgyVotes";"FreeEgyPCT";"FreeSocVotes";"FreeSocPCT";"EGSocDemVotes";"EGSocDemPCT";"DemPeopleVotes";"DemPeoplePCT"
"Al Wadi Al Gadid";" 140,527 ";" 86,225 ";" 22,792 ";26.40%;" 34,376 ";39.90%;" 3,449 ";4.00%;" 6,445 ";7.50%;746;0.90%;" -   ";;" -   ";;" -   ";;" 2,253 ";2.60%;859;1.00%;" -   ";;" -   ";;" 4,994 ";5.80%;" -   ";;" 6,634 ";7.70%;" -   ";;" -   ";;" -   ";;" -   ";;" -   ";;" -   ";;" -   ";;590;0.70%;" -   ";;" -   ";;" -   ";;" 3,087 ";3.60%;" -   ";;" -   ";;" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   "
"Alexandria (2)";" 3,303,916 ";" 2,164,338 ";" 753,951 ";34.80%;" 677,551 ";31.30%;" 129,938 ";6.00%;" 246,712 ";11.40%;" 55,220 ";2.60%;" 149,036 ";6.90%;" 7,639 ";0.40%;" 43,058 ";2.00%;" -   ";0.00%;" 16,590 ";0.80%;" 16,132 ";0.70%;" 11,871 ";0.50%;" -   ";;" -   ";;" -   ";;" 7,973 ";0.40%;" -   ";;" -   ";;" 4,328 ";0.20%;" -   ";;" 15,033 ";0.70%;" 8,847 ";0.40%;" 12,726 ";0.60%;" 3,297 ";0.20%;" 4,436 ";0.20%;" -   ";;" -   ";;" -   ";;" -   ";;" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   "
"Assiut (2)";" 2,071,879 ";" 1,050,215 ";" 389,393 ";37.10%;" 239,002 ";22.80%;" 38,524 ";3.70%;" 204,957 ";19.50%;" 28,105 ";2.70%;" 12,098 ";1.20%;" -   ";;" -   ";;" 12,624 ";1.20%;" 27,537 ";2.60%;" -   ";;" -   ";;" 23,685 ";2.30%;" -   ";;" 23,200 ";2.20%;" 14,319 ";1.40%;" -   ";;" -   ";;" 15,356 ";1.50%;" -   ";;" -   ";;" 8,353 ";0.80%;" -   ";;" 13,062 ";1.20%;" -   ";" -   ";" -   ";;" -   ";;" -   ";;" -   ";;" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   "
"Aswan";" 850,648 ";" 440,071 ";" 148,884 ";33.80%;" 104,228 ";23.70%;" 34,274 ";7.80%;" 40,779 ";9.30%;" 12,394 ";2.80%;" 10,260 ";2.30%;" -   ";;" -   ";;" 15,234 ";3.50%;" 23,743 ";5.40%;" -   ";;" -   ";;" 8,248 ";1.90%;" 1,473 ";0.30%;" 8,036 ";1.80%;" -   ";;" -   ";;" 3,790 ";0.90%;" 10,525 ";2.40%;" -   ";;" -   ";;" 6,523 ";1.50%;" 9,298 ";2.10%;" -   ";;" -   ";" -   ";" -   ";;" -   ";;" -   ";;" -   ";;" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" 2,382 ";0.50%;" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   "
"Beheira (2)";" 3,198,626 ";" 1,909,313 ";" 675,515 ";35.40%;" 743,656 ";38.90%;" 166,143 ";8.70%;" 70,512 ";3.70%;" 11,172 ";0.60%;" 36,474 ";1.90%;" 7,829 ";0.40%;" -   ";;" 22,059 ";1.20%;" 26,202 ";1.40%;" 31,726 ";1.70%;" 60,930 ";3.20%;" 9,508 ";0.50%;" -   ";;" -   ";;" -   ";;" -   ";;" -   ";;" 18,203 ";1.00%;" -   ";;" 6,274 ";0.30%;" 23,110 ";1.20%;" -   ";;" -   ";;" -   ";" -   ";" -   ";;" -   ";;" -   ";;" -   ";;" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   "
"Beni Suef (2)";" 1,415,226 ";" 905,629 ";" 369,011 ";40.70%;" 307,636 ";34.00%;" 91,313 ";10.10%;" 31,059 ";3.40%;" 18,247 ";2.00%;" 19,420 ";2.10%;" 17,370 ";1.90%;" -   ";;" 6,308 ";0.70%;" 8,859 ";1.00%;" -   ";;" -   ";;" -   ";;" -   ";;" -   ";;" -   ";;" -   ";;" -   ";;" 29,054 ";3.20%;" -   ";;" -   ";;" -   ";;" -   ";;" -   ";;" -   ";" -   ";" -   ";;" -   ";;" -   ";;" 7,352 ";0.80%;" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   "
"Cairo (4)";" 6,563,752 ";" 3,492,086 ";" 1,358,025 ";38.90%;" 542,319 ";15.50%;" 260,194 ";7.50%;" 706,740 ";20.20%;" 149,798 ";4.30%;" 120,171 ";3.40%;" 49,905 ";1.40%;" 62,185 ";1.80%;" 22,078 ";0.60%;" 51,983 ";1.50%;" 26,053 ";0.70%;" 28,739 ";0.80%;" 21,988 ";0.60%;" 17,429 ";0.50%;" 9,163 ";0.30%;" 10,212 ";0.30%;" 3,180 ";0.10%;" 10,792 ";0.30%;" 38,085 ";1.10%;" 3,047 ";0.10%;" -   ";;" -   ";;" -   ";;" -   ";;" -   ";" -   ";" -   ";;" -   ";;" -   ";;" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   "
"Dakhaliya (3)";" 3,691,143 ";" 2,259,320 ";" 753,182 ";33.30%;" 629,227 ";27.90%;" 239,555 ";10.60%;" 55,645 ";2.50%;" 40,268 ";1.80%;" 227,863 ";10.10%;" 9,160 ";0.40%;" 66,750 ";3.00%;" 42,982 ";1.90%;" 32,351 ";1.40%;" -   ";;" 42,903 ";1.90%;" 14,594 ";0.60%;" 16,445 ";0.70%;" 8,366 ";0.40%;" -   ";;" -   ";;" 31,850 ";1.40%;" -   ";;" -   ";" -   ";" -   ";;" 48,179 ";2.10%;" -   ";;" -   ";;" -   ";" -   ";" -   ";;" -   ";;" -   ";0.00%;" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   "
"Damietta";" 849,235 ";" 543,594 ";" 169,253 ";31.10%;" 209,726 ";38.60%;" 24,630 ";4.50%;" 18,378 ";3.40%;" 73,876 ";13.60%;" 3,982 ";0.70%;" 6,368 ";1.20%;" 9,658 ";1.80%;" -   ";0.00%;" 3,639 ";0.70%;" -   ";;" -   ";;" 7,346 ";1.40%;" -   ";;" 6,894 ";1.30%;" -   ";;" -   ";;" -   ";;" 5,541 ";1.00%;" -   ";" -   ";" 2,173 ";0.40%;" -   ";;" -   ";;" -   ";;" -   ";" -   ";" 2,130 ";0.40%;" -   ";;" -   ";;" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   "
"Fayyoum (2)";" 1,545,556 ";" 738,886 ";" 332,129 ";44.90%;" 246,627 ";33.40%;" 16,048 ";2.20%;" 26,429 ";3.60%;" 22,313 ";3.00%;" 22,445 ";3.00%;" 2,589 ";0.40%;" -   ";;" -   ";0.00%;" 11,780 ";1.60%;" -   ";;" -   ";;" 37,910 ";5.10%;" -   ";;" -   ";;" -   ";;" -   ";;" -   ";;" 7,823 ";1.10%;" -   ";" -   ";" -   ";;" -   ";;" 12,793 ";1.70%;" -   ";;" -   ";" -   ";" -   ";;" -   ";;" -   ";;" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   "
"Gharbiya (2)";" 2,918,551 ";" 1,880,779 ";" 627,434 ";33.40%;" 550,997 ";29.30%;" 294,358 ";15.70%;" 112,306 ";6.00%;" 39,000 ";2.10%;" 29,009 ";1.50%;" 40,328 ";2.10%;" -   ";;" 24,747 ";1.30%;" 40,666 ";2.20%;" -   ";;" 5,984 ";0.30%;" 43,095 ";2.30%;" 2,663 ";0.10%;" -   ";;" -   ";;" -   ";;" -   ";;" 62,601 ";3.30%;" -   ";" -   ";" -   ";;" -   ";;" -   ";;" -   ";;" -   ";" -   ";" -   ";;" -   ";;" -   ";;" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" 7,591 ";0.40%;" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   ";" -   "
