"District","EligibleVoters","TotalValidVotes","FJPVotes","FJPPCT","NourVotes","NourPCT","WafdVotes","WafdPCT","EGBlocVotes","EGBlocPCT","AlWasatVotes","AlWasatPCT","RevContVotes","RevContPCT","AlAdlVotes","AlAdlPCT","NatPartyofEGVotes","NatPartyofEGPCT","DemPeaceVotes","DemPeacePCT","RDvotes","RDPCT","EgyptRevVotes","EgyptRevPCT","EGCitVotes","EGCitPCT","FreedomVotes","Freedom PCT","ModEGVotes","ModEGPCT","NasserVotes","NasserPCT","GhadVotes","GhadPCT","AwareVotes","AwarePCT","NewIndVotes","NewIndPCT","ConservVotes","ConservPCT","LibSocConVotes","LibSocConPCT","EgyptianRevVotes","EgyptianRevPCT","UnionVotes","UnionPCT","EGArabUnionVotes","EGArabUnionPCT","DemFrontVotes","DemFrontPCT","HumRigVotes","HumRigPCT","SocPeaceVotes","SocPeacePCT","ArabJEVotes","ArabJEPCT","GuardRevVotes","GuardRevPCT","NationVotes","NationPCT","EGPartyPJVotes","EGPartyPJPCT","FreeSoConVotes","FreeSoConPCT","EGTahrirVotes","EGTahrirPCT","FreeVotes","FreePCT","EGVoiceVotes","EGVoicePCT","FreeEgyVotes","FreeEgyPCT","FreeSocVotes","FreeSocPCT","EGSocDemVotes","EGSocDemPCT","DemPeopleVotes","DemPeoplePCT"
"Al Wadi Al Gadid",140527,86225,22792,26.40%,34376,39.90%,3449,4.00%,6445,7.50%,746,0.90%,,,,,,,2253,2.60%,859,1.00%,,,,,4994,5.80%,,,6634,7.70%,,,,,,,,,,,,,,,590,0.70%,,,,,,,3087,3.60%,,,,,,,,,,,,,,,,,,,,,,
"Alexandria 1",1664657,1150865,395961,34.40%,343500,29.80%,73679,6.40%,184407,16.00%,37641,3.30%,47325,4.10%,7639,0.70%,14793,1.30%,,,8231,0.70%,7449,0.60%,6725,0.60%,,,,,,,3027,0.30%,,,,,2211,0.20%,,,6814,0.60%,4161,0.40%,4005,0.30%,3297,0.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alexandria 2",1639259,1013473,357990,35.30%,334051,33.00%,56259,5.60%,62305,6.10%,17579,1.70%,101711,10.00%,,,28265,2.80%,,,8359,0.80%,8683,0.90%,5146,0.50%,,,,,,,4946,0.50%,,,,,2117,0.20%,,,8219,0.80%,4686,0.50%,8721,0.90%,,,4436,0.40%,,,,,,,,,,,,,,,,,,,,,,,,,,
"Assiut 1",1226591,657027,261321,39.80%,136920,20.80%,24497,3.70%,133437,20.30%,21881,3.30%,12098,1.80%,,,,,12624,1.90%,5340,0.80%,,,,,11174,1.70%,,,13738,2.10%,8441,1.30%,,,,,,,,,,,8353,1.30%,,,7203,1.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Assiut 2",845288,393188,128072,32.60%,102082,26.00%,14027,3.60%,71520,18.20%,6224,1.60%,,,,,,,,,22197,5.60%,,,,,12511,3.20%,,,9462,2.40%,5878,1.50%,,,,,15356,3.90%,,,,,,,,,5859,1.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aswan",850648,440071,148884,33.80%,104228,23.70%,34274,7.80%,40779,9.30%,12394,2.80%,10260,2.30%,,,,,15234,3.50%,23743,5.40%,,,,,8248,1.90%,1473,0.30%,8036,1.80%,,,,,3790,0.90%,10525,2.40%,,,,,6523,1.50%,9298,2.10%,,,,,,,,,,,,,,,,,,,2382,0.50%,,,,,,,,,,
"Beheira 1",2074330,1336877,477121,35.70%,534913,40.00%,117417,8.80%,58586,4.40%,,,29023,2.20%,7829,0.60%,,,13054,1.00%,8445,0.60%,18445,1.40%,42879,3.20%,9508,0.70%,,,,,,,,,,,13383,1.00%,,,6274,0.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beheira 2",1124296,572436,198394,34.70%,208743,36.50%,48726,8.50%,11926,2.10%,11172,2.00%,7451,1.30%,,,,,9005,1.60%,17757,3.10%,13281,2.30%,18051,3.20%,,,,,,,,,,,,,4820,0.80%,,,,,23110,4.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beni Suef 1",897942,592771,233938,39.50%,207468,35.00%,67714,11.40%,,,18247,3.10%,19420,3.30%,17370,2.90%,,,,,5166,0.90%,,,,,,,,,,,,,,,,,16096,2.70%,,,,,,,,,,,,,,,,,,,7352,1.20%,,,,,,,,,,,,,,,,,,
"Beni Suef 2",517284,312858,135073,43.20%,100168,32.00%,23599,7.50%,31059,9.90%,,,,,,,,,6308,2.00%,3693,1.20%,,,,,,,,,,,,,,,,,12958,4.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cairo 1",1831768,1082142,426938,39.50%,166195,15.40%,67416,6.20%,254339,23.50%,36429,3.40%,28782,2.70%,,,25020,2.30%,22078,2.00%,14117,1.30%,10672,1.00%,8354,0.80%,7708,0.70%,5618,0.50%,,,5296,0.50%,3180,0.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cairo 2",2245195,875785,312229,35.70%,99032,11.30%,50437,5.80%,229624,26.20%,63275,7.20%,36597,4.20%,27370,3.10%,16629,1.90%,,,9839,1.10%,5610,0.60%,4889,0.60%,,,2436,0.30%,9163,1.00%,4916,0.60%,,,2081,0.20%,1658,0.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cairo 3",679933,408692,163235,39.90%,59342,14.50%,59942,14.70%,74897,18.30%,11962,2.90%,14080,3.40%,9289,2.30%,,,,,9314,2.30%,,,,,,,3791,0.90%,,,,,,,2840,0.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cairo 4",1806856,1125467,455623,40.50%,217750,19.30%,82399,7.30%,147880,13.10%,38132,3.40%,40712,3.60%,13246,1.20%,20536,1.80%,,,18713,1.70%,9771,0.90%,15496,1.40%,14280,1.30%,5584,0.50%,,,,,,,5871,0.50%,36427,3.20%,3047,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dakhaliya 1",1396381,851245,259004,30.40%,229084,26.90%,97454,11.40%,22325,2.60%,12935,1.50%,103888,12.20%,,,40286,4.70%,15818,1.90%,10579,1.20%,,,13283,1.60%,14594,1.70%,6318,0.70%,8366,1.00%,,,,,8051,0.90%,,,,,,,9260,1.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dakhaliya 2",1050946,623303,241350,38.70%,180795,29.00%,73580,11.80%,13062,2.10%,8598,1.40%,54662,8.80%,,,,,4660,0.70%,12638,2.00%,,,10641,1.70%,,,5933,1.00%,,,,,,,,,,,,,,,17384,2.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dakhaliya 3",1243816,784772,252828,32.20%,219348,28.00%,68521,8.70%,20258,2.60%,18735,2.40%,69313,8.80%,9160,1.20%,26464,3.40%,22504,2.90%,9134,1.20%,,,18979,2.40%,,,4194,0.50%,,,,,,,23799,3.00%,,,,,,,21535,2.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Damietta",849235,543594,169253,31.10%,209726,38.60%,24630,4.50%,18378,3.40%,73876,13.60%,3982,0.70%,6368,1.20%,9658,1.80%,,,3639,0.70%,,,,,7346,1.40%,,,6894,1.30%,,,,,,,5541,1.00%,,,2173,0.40%,,,,,,,,,2130,0.40%,,,,,,,,,,,,,,,,,,,,,,,,
"Fayyoum 1",944995,447743,200976,44.90%,130093,29.10%,16048,3.60%,10108,2.30%,17683,3.90%,22445,5.00%,,,,,,,11780,2.60%,,,,,26643,6.00%,,,,,,,,,,,4457,1.00%,,,,,,,7510,1.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fayyoum 2",600561,291143,131153,45.00%,116534,40.00%,,,16321,5.60%,4630,1.60%,,,2589,0.90%,,,,,,,,,,,11267,3.90%,,,,,,,,,,,3366,1.20%,,,,,,,5283,1.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gharbiya 1",1371027,891959,255704,28.70%,265216,29.70%,122966,13.80%,65967,7.40%,17187,1.90%,29009,3.30%,20797,2.30%,,,12869,1.40%,40666,4.60%,,,,,32611,3.70%,2663,0.30%,,,,,,,,,18713,2.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7591,0.90%,,,,,,,,
"Gharbiya 2",1547524,988820,371730,37.60%,285781,28.90%,171392,17.30%,46339,4.70%,21813,2.20%,,,19531,2.00%,,,11878,1.20%,,,,,5984,0.60%,10484,1.10%,,,,,,,,,,,43888,4.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Giza 1",2110345,1390329,571262,41.10%,404549,29.10%,108398,7.80%,146217,10.50%,79930,5.70%,,,,,,,,,29312,2.10%,,,,,14391,1.00%,,,,,15641,1.10%,,,,,20629,1.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Giza 2",2151927,1445699,546974,37.80%,406543,28.10%,66528,4.60%,145346,10.10%,87368,6.00%,40077,2.80%,,,41771,2.90%,34249,2.40%,13938,1.00%,21581,1.50%,,,25875,1.80%,,,,,,,,,,,4283,0.30%,,,11166,0.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ismailiya",696351,481384,183859,38.20%,132992,27.60%,35637,7.40%,31998,6.60%,10138,2.10%,5873,1.20%,,,7244,1.50%,,,2264,0.50%,,,,,3979,0.80%,1363,0.30%,,,,,17226,3.60%,15964,3.30%,4632,1.00%,,,5590,1.20%,,,7094,1.50%,2204,0.50%,,,,,13327,2.80%,,,,,,,,,,,,,,,,,,,,,,
"Kafr El Shiekh 1",1306220,710870,212064,29.80%,276654,38.90%,86466,12.20%,,,11896,1.70%,,,,,,,17002,2.40%,50065,7.00%,,,10770,1.50%,11109,1.60%,,,,,,,,,,,,,,,,,22327,3.10%,,,12517,1.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kafr El Shiekh 2",557614,303661,94486,31.10%,68007,22.40%,46636,15.40%,6976,2.30%,19919,6.60%,17979,5.90%,,,31847,10.50%,,,14821,4.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,2990,1.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Luxor",667254,321285,118566,36.90%,50691,15.80%,35533,11.10%,41726,13.00%,10098,3.10%,,,8712,2.70%,,,,,5732,1.80%,,,,,25279,7.90%,8279,2.60%,,,7495,2.30%,,,,,3279,1.00%,,,,,,,,,,,,,,,,,5895,1.80%,,,,,,,,,,,,,,,,,,,,
"Matrouh",199607,112860,16314,14.50%,76511,67.80%,7655,6.80%,1977,1.80%,3873,3.40%,,,375,0.30%,,,,,1210,1.10%,,,,,2755,2.40%,,,,,895,0.80%,,,,,,,,,,,,,656,0.60%,457,0.40%,,,,,182,0.20%,,,,,,,,,,,,,,,,,,,,,,
"Menoufiya 1",1192036,618621,210357,34.00%,138121,22.30%,68987,11.20%,37973,6.10%,30434,4.90%,,,,,52833,8.50%,2648,0.40%,45006,7.30%,,,,,4299,0.70%,,,,,18108,2.90%,,,,,9855,1.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Menoufiya 2",956762,686587,269038,39.20%,109600,16.00%,174463,25.40%,,0.00%,17287,2.50%,11280,1.60%,,,39915,5.80%,17416,2.50%,40155,5.80%,,,,,,,,,,,,,,,,,7433,1.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Minya 1",1392026,782707,362318,46.30%,174146,22.20%,29787,3.80%,44392,5.70%,49898,6.40%,7563,1.00%,,,,,5163,0.70%,5147,0.70%,,,,,100748,12.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3545,0.50%,,,,,,,,,,,,,,
