مقر اللجنة,عدد الناخبين,الأصوات الصحيحة,الأصوات الباطلة,نسبة المشاركة,ابو العز الحريري,محمد فوزي,احمد حسام,عمرو موسى,عبد المنعم أبو الفتوح,هشام البسطويسي,محمود حسام,محمد سليم العوا,أحمد شفيق,حمدين صباحي,عبد الله الأشعل,خالد علي,محمد مرسي
اول دمياط,65357,40449,358,62.4%,24,9,16,5614,9557,57,15,494,4991,13036,6,234,6396
ثان دمياط,79292,47296,420,60.2%,36,13,21,7451,11538,41,22,411,3867,14065,10,223,9598
راس البر,8340,4469,27,53.9%,3,2,2,592,1275,0,0,40,701,1365,1,20,468
دمياط الجديدة,20049,13640,138,68.7%,10,2,1,1022,4088,17,1,226,1352,3819,0,66,3036
مركز دمياط,220495,120820,1594,55.5%,130,100,66,14314,32821,100,101,969,12988,27121,43,523,31544
مركز كفر سعد,145345,69803,869,48.6%,80,66,31,8919,18589,76,68,571,12080,12437,23,283,16580
مركز كفر البطيخ,59253,27567,385,47.2%,35,35,12,3319,5641,21,37,226,4056,4962,16,75,9132
مركز فارسكور,158890,76734,1082,49.0%,118,74,49,14952,12931,67,83,565,10920,20447,21,258,16249
مركز الزرقاء,94714,49414,728,52.9%,53,45,26,10214,11376,29,44,367,3982,9653,18,188,13419
الإجمالي,851735,450192,5601,53.5%,489,346,224,66397,107816,408,371,3869,54937,106905,138,1870,106422
