القسم,نسبة د. مرسي,نسبة د. شفيق,عدد الناخبين,الاصوات الصحيحة,الاصوات الباطلة,نسبة المشاركة,د.أحمد شفيق,د.محمد مرسي
شبرا,22.0,78.0,"92,263","53,157","1,347",59.1,"41,475","11,682"
الساحل,34.2,65.8,"349,271","189,056","12,380",57.7,"124,354","64,702"
روض الفرج,31.0,69.0,"185,635","99,926","4,122",56.0,"68,906","31,020"
الزيتون,40.9,59.1,"184,472","103,226","4,577",58.4,"60,976","42,250"
الاميريه,49.9,50.1,"142,681","78,190","3,343",57.1,"39,204","38,986"
حدائق القبه,43.6,56.4,"297,923","153,547","6,596",53.8,"86,621","66,926"
الشرابيه,42.3,57.7,"213,844","112,361","4,109",54.5,"64,838","47,523"
الزاويه الحمراء,43.8,56.2,"239,453","129,734","4,615",56.1,"72,878","56,856"
السيده زينب,36.4,63.6,"159,475","79,216","4,397",52.4,"50,364","28,852"
الخليفه,38.6,61.4,"128,582","61,016","3,172",49.9,"37,469","23,547"
المقطم,48.5,51.5,"65,576","35,649","1,936",57.3,"18,346","17,303"
البساتين,53.5,46.5,"259,612","117,812","5,100",47.3,"54,778","63,034"
مصر القديمه,43.5,56.5,"226,505","106,703","8,690",50.9,"60,243","46,460"
مصر الجديده,32.4,67.6,"166,486","92,057","4,914",58.2,"62,229","29,828"
مدينه نصراول,46.8,53.2,"362,186","208,014","12,604",60.9,"110,645","97,369"
مدينه نصر ثان,47.3,52.7,"52,901","30,055","1,645",59.9,"15,826","14,229"
المطريه,49.4,50.6,"457,157","238,224","7,856",53.8,"120,598","117,626"
عين شمس,46.7,53.3,"365,270","187,891","7,098",53.4,"100,107","87,784"
اول السلام,46.8,53.2,"192,654","94,505","3,760",51.0,"50,248","44,257"
ثان السلام,43.1,56.9,"63,799","29,649","1,098",48.2,"16,882","12,767"
المرج,49.9,50.1,"284,907","152,424","4,513",55.1,"76,440","75,984"
النزهه,35.0,65.0,"181,521","107,139","6,255",62.5,"69,661","37,478"
الظاهر,31.6,68.4,"78,251","44,373","2,305",59.7,"30,333","14,040"
الوايلى,37.2,62.8,"98,104","49,605","2,963",53.6,"31,167","18,438"
منشيه ناصر,43.8,56.2,"88,360","38,101","1,368",44.7,"21,416","16,685"
الجماليه,35.9,64.1,"103,452","46,607","1,901",46.9,"29,893","16,714"
الدرب الاحمر,35.3,64.7,"86,932","42,747","2,278",51.8,"27,642","15,105"
بولاق,38.0,62.0,"89,711","41,963","1,762",48.7,"26,027","15,936"
قصر النيل,24.7,75.3,"32,440","16,927","1,199",55.9,"12,746","4,181"
عابدين,34.4,65.6,"57,731","29,444","1,825",54.2,"19,312","10,132"
الازبكيه,26.6,73.4,"34,943","18,700",678,55.5,"13,731","4,969"
باب الشعريه,36.1,63.9,"66,053","33,376","1,492",52.8,"21,342","12,034"
الموسكى,37.2,62.8,"35,203","16,951",676,50.1,"10,653","6,298"
دار السلام,52.3,47.7,"189,171","92,288","3,783",50.8,"44,033","48,255"
المعادى,48.4,51.6,"179,556","97,832","5,632",57.6,"50,495","47,337"
التبين,66.3,33.7,"78,511","39,770","1,506",52.6,"13,411","26,359"
خمسه عشر مايو,59.5,40.5,"70,142","43,860","2,160",65.6,"17,745","26,115"
حلوان,58.5,41.5,"439,638","233,836","10,402",55.6,"97,031","136,805"
اول القاهره الجديده,56.2,43.8,"32,928","20,254","1,039",64.7,"8,869","11,385"
ثان القاهره الجديده,49.3,50.7,"16,386","10,058",523,64.6,"5,103","4,955"
ثالث القاهره الجديد,56.9,43.1,"21,527","12,581",582,61.1,"5,423","7,158"
الشروق,55.2,44.8,"11,794","7,171",360,63.9,"3,215","3,956"
مدينه بدر,57.2,42.8,"5,558","3,115",126,58.3,"1,332","1,783"
