القسم,نسبة موافق,نسبة غير موافق,عدد الناخبين,الأصوات الصحيحة,الأصوات الباطلة,نسبة المشاركة,موافق,غير موافق
دمنهور,46.6,53.4,223259,92010,1112,41.7,42838,49172
مركز دمنهور,79.6,20.4,295747,87900,1942,30.4,69981,17919
مركز ابوالمطامير,89.6,10.4,223472,67005,1066,30.5,60053,6952
مركز ابوحمص,87.5,12.5,284758,90817,1892,32.6,79502,11315
مركز الدلنجات,83.0,17.0,211786,72355,1196,34.7,60073,12282
مركز المحمودية,63.0,37.0,166178,42714,727,26.1,26906,15808
مركز إيتاى البارود,71.5,28.5,267886,89051,1645,33.9,63704,25347
مركز حوش عيسى,92.0,8.0,156140,57168,979,37.2,52599,4569
مركز رشيد,67.6,32.4,150592,44348,690,29.9,29972,14376
مركز شبراخيت,67.5,32.5,163205,47076,974,29.4,31787,15289
كفر الدوار,74.2,25.8,191147,79835,837,42.2,59221,20614
مركز كفر الدوار,90.4,9.6,322390,112086,1835,35.3,101295,10791
مركز كوم حمادة,64.7,35.3,277054,98337,1687,36.1,63660,34677
مركز وادى النطرون,73.2,26.8,27620,8806,148,32.4,6446,2360
مركز الرحمانية,75.1,24.9,91697,22918,560,25.6,17220,5698
مركز إدكو,71.3,28.7,115009,35621,620,31.5,25407,10214
مركز بدر,74.5,25.5,92097,30115,494,33.2,22449,7666
غرب النوبارية,89.8,10.2,16893,6280,101,37.8,5642,638
الإجمالي,75.5,24.5,3276930,1084442,18505,33.7,818755,265687
